B_million,z_star,opt_sites
14.06,231.2988,S2+S4+S6
14.07,231.2988,S2+S4+S6
14.08,231.2988,S2+S4+S6
14.09,231.2988,S2+S4+S6
14.10,231.2988,S2+S4+S6
14.11,231.2988,S2+S4+S6
14.12,231.2988,S2+S4+S6
14.13,231.2988,S2+S4+S6
14.14,231.2988,S2+S4+S6
14.15,231.2988,S2+S4+S6
14.16,231.2988,S2+S4+S6
14.17,231.2988,S2+S4+S6
14.18,231.2988,S2+S4+S6
14.19,231.2988,S2+S4+S6
14.20,231.2988,S2+S4+S6
14.21,231.2988,S2+S4+S6
14.22,231.2988,S2+S4+S6
14.23,231.2988,S2+S4+S6
14.24,231.2988,S2+S4+S6
14.25,231.2988,S2+S4+S6
14.26,231.2988,S2+S4+S6
14.27,231.2988,S2+S4+S6
14.28,231.2988,S2+S4+S6
14.29,231.2988,S2+S4+S6
14.30,231.2988,S2+S4+S6
14.31,231.2988,S2+S4+S6
14.32,231.2988,S2+S4+S6
14.33,231.2988,S2+S4+S6
14.34,231.2988,S2+S4+S6
14.35,231.2988,S2+S4+S6
14.36,231.2988,S2+S4+S6
14.37,231.2988,S2+S4+S6
14.38,231.2988,S2+S4+S6
14.39,231.2988,S2+S4+S6
14.40,231.2988,S2+S4+S6
14.41,231.2988,S2+S4+S6
14.42,231.2988,S2+S4+S6
14.43,231.2988,S2+S4+S6
14.44,231.2988,S2+S4+S6
14.45,231.2988,S2+S4+S6
14.46,231.2988,S2+S4+S6
14.47,231.2988,S2+S4+S6
14.48,231.2988,S2+S4+S6
14.49,231.2988,S2+S4+S6
14.50,231.2988,S2+S4+S6
14.51,231.2988,S2+S4+S6
14.52,231.2988,S2+S4+S6
14.53,231.2988,S2+S4+S6
14.54,231.2988,S2+S4+S6
14.55,231.2988,S2+S4+S6
14.56,231.2988,S2+S4+S6
14.57,231.2988,S2+S4+S6
14.58,231.2988,S2+S4+S6
14.59,231.2988,S2+S4+S6
14.60,231.2988,S2+S4+S6
14.61,231.2988,S2+S4+S6
14.62,231.2988,S2+S4+S6
14.63,231.2988,S2+S4+S6
14.64,231.2988,S2+S4+S6
14.65,231.2988,S2+S4+S6
14.66,231.2988,S2+S4+S6
14.67,231.2988,S2+S4+S6
14.68,231.2988,S2+S4+S6
14.69,231.2988,S2+S4+S6
14.70,231.2988,S2+S4+S6
14.71,231.2988,S2+S4+S6
14.72,231.2988,S2+S4+S6
14.73,231.2988,S2+S4+S6
14.74,231.2988,S2+S4+S6
14.75,231.2988,S2+S4+S6
14.76,231.2988,S2+S4+S6
14.77,231.2988,S2+S4+S6
14.78,231.2988,S2+S4+S6
14.79,231.2988,S2+S4+S6
14.80,215.2702,S2+S4+S5
14.81,215.2702,S2+S4+S5
14.82,215.2702,S2+S4+S5
14.83,215.2702,S2+S4+S5
14.84,215.2702,S2+S4+S5
14.85,215.2702,S2+S4+S5
14.86,215.2702,S2+S4+S5
14.87,215.2702,S2+S4+S5
14.88,215.2702,S2+S4+S5
14.89,215.2702,S2+S4+S5
14.90,215.2702,S2+S4+S5
14.91,215.2702,S2+S4+S5
14.92,215.2702,S2+S4+S5
14.93,215.2702,S2+S4+S5
14.94,215.2702,S2+S4+S5
14.95,215.2702,S2+S4+S5
14.96,215.2702,S2+S4+S5
14.97,215.2702,S2+S4+S5
14.98,215.2702,S2+S4+S5
14.99,215.2702,S2+S4+S5
15.00,215.2702,S2+S4+S5
